vehicle_id,dealer_id,plate,year,month,max_date,monthly_score,total_penalties,total_km
1021,VSCLM1,MJEFL8JW1LJE24368,2022,4,29:20.0,62,38.13,2626.4
1022,VJAJN1,MJEC1JG53L5005062,2022,4,25:19.0,86,13.67,223
1055,VKMPM1,MJEFM8JN1LJE33136,2022,4,51:33.0,14,86.21,3859.4
1069,VJDMI1,MJEFM8JN1LJE33129,2022,4,50:55.0,0,145.98,2237.7
1073,VKAMP1,KH 8190 GP,2022,4,50:21.0,13,87.3,3171.6
794,VGIPS1,MJEFM8JN1LJE33071,2022,4,19:21.0,0,150.08,2501.7
868,VSPLR1,BE 9397 YV,2022,4,48:24.0,98,1.91,1347.1
1062,VJDMI1,MJEFG8JE1LJB13790,2022,4,03:01.0,38,61.79,324.9
1099,VJARM1,B 9166 NIB,2022,4,12:02.0,100,0,0
1123,VJMGI1,MJEFG8JL1LJB11568,2022,4,24:10.0,84,16.39,386
1144,VWCKM1,MJEC1JG43L5188422,2022,4,30:07.0,0,180.31,560
1194,VKPPK1,NBI 026 - MJEFM8JN1LJE331,2022,4,47:52.0,0,120.43,3827.6
1147,VJDMI1,B 9030 BIS,2022,4,46:49.0,32,67.85,2532.1
1180,VJHMM1,B 9596 NYV,2022,4,43:28.0,84,16.33,1165.5
1214,VKPPK1,NBI 029 - MJEFM8JN1LJE331,2022,4,51:38.0,0,131.1,3139
1218,VJHMM1,B 9592 NYV,2022,4,19:25.0,86,14.01,1799
1342,VLKMA2,MJEFM8JN1LJE33188,2022,4,33:02.0,100,0,0
1378,VWMPS1,AD8106AV,2022,4,43:29.0,56,43.73,4544.2
1442,VJDMI1,MJEC1JG51L5005106,2022,4,49:54.0,30,69.74,286.4
1502,VJBJI1,F 8166 HM,2022,4,57:31.0,94,6.46,96.8
574,VGIPJ1,B 9799 UCV,2022,4,10:07.0,78,21.65,316.4
307,VGICP2,DR 8448 KS,2022,4,18:30.0,3,97.04,47.4
